Rk,Player,WAR/pos,WAA/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
1,Hank Aaron\aaronha01,143.1,93.0,1954,1976,20-42,3298,13941,12364,2174,3771,624,98,755,2297,1402,293,1383,32,21,121,328,240,73,.305,.374,.555,.928,*9783DH/45,MLN-ATL-MIL
2,Pete Alexander\alexape01,3.0,3.0,1911,1930,24-43,703,1981,1810,154,378,60,13,11,163,77,,276,2,88,,,3,5,.209,.242,.275,.517,*1/H7,PHI-CHC-STL
3,Roberto Alomar\alomaro01,67.0,32.5,1988,2004,20-36,2379,10400,9073,1508,2724,504,80,210,1134,1032,62,1140,50,148,97,206,474,114,.300,.371,.443,.814,*4/HD6,SDP-TOR-BAL-CLE-NYM-CHW-ARI
4,Cap Anson\ansonca01,94.4,55.4,1871,1897,19-45,2524,11331,10281,1999,3435,582,142,97,2075,984,,330,32,34,,6,277,16,.334,.394,.447,.841,*352/794681,ROK-ATH-CHC
5,Luis Aparicio\aparilu01,55.9,20.5,1956,1973,22-39,2599,11231,10230,1335,2677,394,92,83,791,736,22,742,27,161,76,184,506,136,.262,.311,.343,.653,*6/H,CHW-BAL-BOS
6,Luke Appling\applilu01,77.1,44.1,1930,1950,23-43,2422,10254,8856,1319,2749,440,102,45,1116,1302,33,528,11,74,,129,179,108,.310,.399,.398,.798,*6/5H43,CHW
7,Richie Ashburn\ashburi01,64.4,29.2,1948,1962,21-35,2189,9737,8365,1322,2574,317,109,29,586,1198,40,571,43,112,18,83,234,117,.308,.396,.382,.778,*8H/794,PHI-CHC-NYM
8,Earl Averill\averiea01,51.1,25.9,1929,1941,27-39,1669,7221,6353,1224,2019,401,128,238,1164,774,0,518,33,55,,7,70,58,.318,.395,.534,.928,*8/7H9,CLE-DET-BSN
9,Jeff Bagwell\bagweje01,79.9,52.0,1991,2005,23-37,2150,9431,7797,1517,2314,488,32,449,1529,1401,155,1558,128,3,102,221,202,78,.297,.408,.540,.948,*3/HD9,HOU
10,Harold Baines\baineha01,38.7,1.8,1980,2001,21-42,2830,11092,9908,1299,2866,488,49,384,1628,1062,187,1441,14,9,99,298,34,34,.289,.356,.465,.820,*D9H/87,CHW-TEX-OAK-BAL-CLE
